,betweenness,pagerank,clustering,closeness,raw_degree,is_high_risk,risk_score
JARID2,5.839686440258716e-07,6.877186558170272e-05,0.7111111111111111,0.16391817886579974,10,0,0.0
PHF1,0.0001734751749807798,0.00011616049093802613,0.4805194805194805,0.1759083769501238,22,0,0.0
MTF2,7.189111131797394e-06,5.354015428948206e-05,0.8,0.16239298081325773,6,0,0.02
PHF19,1.3676443318232173e-05,6.44384057479899e-05,0.5714285714285714,0.16874302528740528,8,0,0.0
SWI5,0.0,9.596961550533542e-05,1.0,0.1334272917086402,6,0,0.0
SFR1,0.0,9.596961550533542e-05,1.0,0.1334272917086402,6,0,0.0
RAD51B,5.797036332614299e-07,0.00011198755320792273,0.8095238095238095,0.1334303096745697,7,0,0.05
XRCC2,0.00011610348971613248,0.0001215293874046096,0.6785714285714286,0.154285011665291,8,0,0.0
XRCC3,0.00017676047530292263,0.00011545599798501671,0.6428571428571429,0.15781400270257895,8,0,0.0
RAD51D,0.0,9.596961550533544e-05,1.0,0.1334272917086402,6,0,0.0
AMPH,7.1216705212589905e-06,8.224375241058556e-05,0.6666666666666666,0.15382235778415648,4,0,0.0
HSD11B2,0.0,0.00011486331265793706,1.0,0.00022975301550832856,2,0,0.0
HSD11B1L,0.0,0.00011486331265793706,1.0,0.00022975301550832856,2,0,0.0
HSD11B1,0.0,0.00011486331265793706,1.0,0.00022975301550832856,2,0,0.0
SPATA13,0.0,4.631976614722318e-05,0.0,0.12965597215311445,1,0,0.0
CLK4,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
CLK1,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
GCNT4,0.0,0.00011486331265793706,1.0,0.00022975301550832856,2,0,0.0
GCNT3,0.0,0.00011486331265793706,1.0,0.00022975301550832856,2,0,0.0
GCNT1,0.0,0.00011486331265793706,1.0,0.00022975301550832856,2,0,0.0
AAR2,0.0,2.6911274843757904e-05,1.0,0.1451332830050288,3,0,0.0
TSSC4,0.0,2.3888155846381697e-05,1.0,0.14512614202475893,2,0,0.0
C9orf78,0.0,2.0441588046100905e-05,0.0,0.14144457442627922,1,0,0.0
SEMA4A,0.0,4.517375524040248e-05,0.0,0.12613242577396142,1,0,0.0
PSAPL1,0.0,6.215920942564103e-05,0.0,0.10718792443031526,1,0,0.0
RABGGTA,0.0018366268382352944,0.0001387133927671292,0.0,0.1185555573178665,3,0,0.0
STXBP3,0.0,2.8173424353973608e-05,0.0,0.1233138388106192,1,0,0.0
PIPOX,0.0,0.00011486331265793706,1.0,0.00022975301550832856,2,0,0.0
GNMT,0.0,0.00011486331265793706,1.0,0.00022975301550832856,2,0,0.0
SARDH,0.0,0.00011486331265793706,1.0,0.00022975301550832856,2,0,0.0
C1orf198,0.0,2.6950437705722363e-05,1.0,0.1102118154324596,2,0,0.0
SPTBN5,7.266665750395217e-06,6.562036294653796e-05,0.6666666666666666,0.14659759992600402,3,0,0.0
SPTBN2,8.7136291929692e-05,6.0830561527953854e-05,0.3333333333333333,0.16606388596183883,3,0,0.0
TNIP1,0.0,3.9831205225109305e-05,1.0,0.17705938172771862,3,0,0.0
ROCK2,0.0,6.264320343194055e-05,1.0,0.14946128407161066,2,0,0.0
ROCK1,0.00011871528995591346,0.00012808961200010932,0.16666666666666666,0.14946885805919885,4,0,0.0
NSA2,1.071136772778762e-05,7.90263959731689e-05,0.4666666666666667,0.15329870380245839,6,0,0.0
MRTO4,0.0,5.371763684898318e-05,1.0,0.1495787672047873,3,0,0.0
ENPP4,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
FHIT,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
BLOC1S4,0.0,9.362269411783141e-05,1.0,0.14424960070968093,7,0,0.0
BLOC1S5,0.0,9.362269411783141e-05,1.0,0.14424960070968093,7,0,0.0
DTNBP1,0.0,9.362269411783141e-05,1.0,0.14424960070968093,7,0,0.0
BLOC1S1,3.829656862745098e-07,0.00015113165971738485,0.6212121212121212,0.14426723944784545,12,0,0.0
BLOC1S6,0.0,9.362269411783141e-05,1.0,0.14424960070968093,7,0,0.0
BLOC1S3,0.0,9.362269411783141e-05,1.0,0.14424960070968093,7,0,0.0
FUT7,0.0,5.315662433511916e-05,0.0,0.12035024116660684,1,0,0.0
INO80C-2,0.0,2.7025952657256615e-05,1.0,0.16609193966332744,2,0,0.0
INO80D,0.0,3.998501895401933e-05,1.0,0.16711769231486445,5,0,0.0
CCDC114,0.0,0.00011486331265793706,1.0,0.00022975301550832856,2,0,0.0
TTC25,0.0,0.00011486331265793706,1.0,0.00022975301550832856,2,0,0.0
CCDC151,0.0,0.00011486331265793706,1.0,0.00022975301550832856,2,0,0.0
CDK5R1,0.0,5.022487750537812e-05,0.0,0.126674127016307,1,0,0.0
BACE2,0.00011797671264710967,5.903682864168406e-05,0.0,0.1775603473805015,3,0,0.0
NABP2,0.0,6.115912348455387e-05,1.0,0.1159730944250069,3,0,0.0
NABP1,0.0,6.115912348455387e-05,1.0,0.1159730944250069,3,0,0.0
INIP,0.0,6.115912348455387e-05,1.0,0.1159730944250069,3,0,0.0
GREM2,0.0,4.8007012456723034e-05,0.0,0.10696635335223487,1,0,0.0
GREM1,9.531931510078982e-05,7.175721341134462e-05,0.0,0.1229386341493498,2,0,0.0
TFIP11,3.927425764564659e-07,3.606261760612195e-05,0.6666666666666666,0.14427076771313557,3,0,0.0
SYTL2,0.0,5.013275534281159e-05,0.0,0.1056332244788683,1,0,0.0
FMN2,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
SPIRE1,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
CPN2,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
CPN1,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
DCUN1D3,0.0,3.556801210629237e-05,0.0,0.131728985329427,1,0,0.0
TSPAN16,0.0,2.988068995679744e-05,0.0,0.13878572923238208,1,0,0.0
KCND3,0.0,0.0001312285079389902,0.5,0.11983195378691804,4,0,0.03
KCNIP1,0.0,7.06011299015263e-05,1.0,0.11982708553772904,2,0,0.0
DPP10,0.0,7.06011299015263e-05,1.0,0.11982708553772904,2,0,0.0
KCNIP2,0.0,7.06011299015263e-05,1.0,0.11982708553772904,2,0,0.0
AGTRAP,0.0,4.027257593866772e-05,0.0,0.12389136660763207,1,0,0.0
H1-8,0.0,2.1218405616693088e-05,0.0,0.15709953185146208,1,0,0.0
ADGRE2,1.4341703409305538e-05,5.223837584203059e-05,0.0,0.12940284337689253,2,0,0.0
SH3GL3,5.212285495075042e-05,6.518551526948673e-05,0.3333333333333333,0.16728355889922872,3,0,0.0
ARC,0.0,5.074137750885043e-05,1.0,0.14989422998405286,2,0,0.0
GHRHR,9.535845588235295e-05,8.631853222632239e-05,0.3333333333333333,0.1505483723209065,3,0,0.0
GHRH,0.0,4.140099435130892e-05,0.0,0.12727539798102225,1,0,0.0
CIDEA,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
CIDEC,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
MOSPD2,0.002111378537132654,9.775584848304224e-05,0.0,0.10202503322418542,2,0,0.0
SLC7A8,0.0,4.935004599146097e-05,0.0,0.12782421280655257,1,0,0.0
RNF185,0.0,5.662846923287784e-05,0.0,0.10910093251382284,1,0,0.0
RNF5,9.535845588235295e-05,8.95910733480621e-05,0.0,0.1257667076222663,2,0,0.0
YARS2,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
YARS1,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
EML4,0.0,3.5853081742300195e-05,0.0,0.14475932912130748,1,0,0.0
SPAST,0.0,3.3092301529680484e-05,1.0,0.13193226625416324,2,0,0.0
SLC2A1,0.0,0.00014911420552325612,0.0,0.0002584721424468696,2,0,0.0
NANOS2,0.0,2.830090189674862e-05,0.0,0.12781313474503622,1,0,0.0
ZFP36,0.00036848446469382783,3.544439526934015e-05,0.0,0.1477801348019039,2,0,0.0
NANOS1,0.0,2.830090189674862e-05,0.0,0.12781313474503622,1,0,0.0
ME2,0.0,0.00011486331265793706,1.0,0.00022975301550832856,2,0,0.0
ME3,0.0,0.00011486331265793706,1.0,0.00022975301550832856,2,0,0.0
ME1,0.0,0.00011486331265793706,1.0,0.00022975301550832856,2,0,0.0
TACR2,0.0,8.162243871566353e-05,1.0,0.12014434666033404,2,0,0.0
TAC4,0.0,4.574626547870948e-05,0.0,0.12013945299626086,1,0,0.0
SH2B1,0.0,5.531499176141303e-05,1.0,0.16787385944856006,3,0,0.0
SH2B3,0.0,5.531499176141303e-05,1.0,0.16787385944856006,3,0,0.0
RCHY1,0.0,4.6025082855842413e-05,0.0,0.13079146444853781,1,0,0.0
POLH,9.535845588235295e-05,6.750797259034343e-05,0.0,0.15549284150515053,2,0,0.0
COX8C,0.0,2.3105789227081772e-05,0.0,0.10316155887278387,1,0,0.0
DIAPH2,0.0,5.0512815054963564e-05,0.0,0.12649485195716523,1,0,0.0
DIAPH1,9.535845588235295e-05,7.85238725002528e-05,0.0,0.14945749736565495,2,0,0.0
MICU3,0.0,0.00011280050664674953,1.0,0.0006254387644393388,5,0,0.0
SMDT1,0.0,0.00013302196554400747,0.8666666666666667,0.0007036186099942562,6,0,0.0
MCUR1,0.0,0.00011280050664674953,1.0,0.0006254387644393388,5,0,0.0
MICU2,0.0,0.00013302196554400747,0.8666666666666667,0.0007036186099942562,6,0,0.0
MCUB,0.0,0.00013302196554400747,0.8666666666666667,0.0007036186099942562,6,0,0.0
LLGL1,1.1308858994420752e-05,7.75370401318497e-05,0.6666666666666666,0.15914231739026655,4,0,0.0
LLGL2,1.128624127643191e-05,7.75370401318497e-05,0.6666666666666666,0.15914231739026655,4,0,0.0
SCRIB,0.00017461647657980177,0.00010436199737488499,0.13333333333333333,0.15985387152866706,6,0,0.0
BORCS5,0.0,9.362269411783141e-05,1.0,0.14424960070968093,7,0,0.0
BORCS6,0.0,9.362269411783141e-05,1.0,0.14424960070968093,7,0,0.0
BORCS8,0.0,9.362269411783141e-05,1.0,0.14424960070968093,7,0,0.0
KXD1,0.0,9.362269411783141e-05,1.0,0.14424960070968093,7,0,0.0
BORCS7,0.0,9.362269411783141e-05,1.0,0.14424960070968093,7,0,0.0
IMPDH2,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
IMPDH1,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
ANKZF1,0.0,3.27622680045511e-05,0.0,0.13964650761125869,1,0,0.0
SLC16A8,0.0,3.650864785650695e-05,0.0,0.14702874784463388,1,0,0.0
ETV4,0.0,2.5969195247972807e-05,0.0,0.16046262331753125,1,0,0.0
RHOT2,0.0001557278753616508,7.227814906035862e-05,0.3333333333333333,0.13570791646972327,3,0,0.0
TRAK1,1.705806731269982e-05,7.409581290281973e-05,0.6666666666666666,0.11799118771546527,3,0,0.0
MFN2,0.0003474051702731859,0.00011231402368866784,0.1,0.16169414305354277,5,0,0.0
DPM1,0.0,6.178506194427595e-05,1.0,0.09854971551516734,2,0,0.0
DPM3,0.0,6.178506194427595e-05,1.0,0.09854971551516734,2,0,0.0
ORAI3,0.0,8.543596683573782e-05,1.0,0.1369269630245207,4,0,0.0
STIM1,9.226310019688468e-06,0.00010341499997315301,0.7,0.14206452704514017,5,0,0.0
ORAI2,4.163697640310679e-06,0.00010305446433252385,0.6,0.14030079962475386,5,0,0.0
STIM2,0.0,8.543596683573782e-05,1.0,0.1369269630245207,4,0,0.0
TNNI3K,0.0,5.2786576763974355e-05,1.0,0.1305714473764891,2,0,0.0
FPGT-TNNI3K,0.0,5.2786576763974355e-05,1.0,0.1305714473764891,2,0,0.0
VNN2,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
VNN1,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
FAM20C,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
FAM20A,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
CDK20,0.0,2.1821785857029028e-05,0.0,0.14347076442888346,1,0,0.0
RRS1,0.0,3.1109941740689794e-05,0.0,0.13380863360301232,1,0,0.0
RPF2,9.535845588235295e-05,4.886614232467535e-05,0.3333333333333333,0.15977593838255738,3,0,0.0
NLRX1,0.002638152217515077,5.447512719445462e-05,0.3333333333333333,0.17900432168176,4,0,0.0
SCN7A,9.535845588235295e-05,9.114397737433352e-05,0.5,0.14121432999048214,4,0,0.0
PELI3,0.0,2.893936390841469e-05,0.0,0.15469770070601319,1,0,0.0
HTR3E,0.0,7.715337789061246e-05,1.0,0.0003063373540111047,2,0,0.0
HMGCS1,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
HMGCS2,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
RHBDF2,0.0,2.2308245812424747e-05,0.0,0.13265617443662778,1,0,0.0
MTSS1,0.0,2.9460653138330098e-05,0.0,0.15219916460750796,1,0,0.0
ROGDI,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
DMXL1,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
EBF1,9.535845588235295e-05,8.391221017648477e-05,0.0,0.13133014428564052,2,0,0.0
ZNF423,0.0,5.317891515128827e-05,0.0,0.11326320336813166,1,0,0.0
HTR1F,0.0,5.159088385248355e-05,1.0,0.14934398534233925,2,0,0.0
TIMMDC1,0.0,3.300094930428662e-05,0.8,0.11476153961874602,5,0,0.01
SLC2A2,0.0,8.061241979261792e-05,0.0,0.0001723147616312464,1,0,0.0
KLF4,0.0,4.073121105675104e-05,1.0,0.17388614358208992,2,0,0.0
UBE2O,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
NAP1L1,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
SYNE3,3.7702182509372435e-05,9.812630659502857e-05,0.6,0.14217409189777308,5,0,0.0
KIF15,0.0,5.489556307458481e-05,0.0,0.10645674157729054,1,0,0.0
MEI4,0.0,5.655048456808487e-05,1.0,0.144969218053239,2,0,0.0
REC114,0.0,5.655048456808487e-05,1.0,0.144969218053239,2,0,0.0
ENO3,0.0,5.0877506017151216e-05,0.0,0.11870107694674528,1,0,0.0
ENO2,9.535845588235295e-05,7.673354192192633e-05,0.0,0.13869762581168063,2,0,0.0
FICD,0.0,3.5800688615864955e-05,0.0,0.1433173980472389,1,0,0.0
DNAJC1,0.0,3.5800688615864955e-05,0.0,0.1433173980472389,1,0,0.0
TCTEX1D2,0.0,5.543904748326501e-05,0.6666666666666666,0.1313974255712752,4,0,0.0
SEPTIN1,9.605967696017712e-08,5.178356598193675e-05,0.6666666666666666,0.13766189258429948,3,0,0.0
SEPTIN10,7.659313725490196e-08,9.960866258471504e-05,0.6190476190476191,0.13681898647885704,7,0,0.0
FLII,9.535845588235295e-05,9.537222993387486e-05,0.0,0.14328606803552102,2,0,0.0
LRRFIP2,0.0,6.01386897726575e-05,0.0,0.12204587609439126,1,0,0.0
LRRFIP1,0.0001907169117647059,7.009781238958227e-05,0.0,0.1734668574417738,2,0,0.0
NAPG,0.0,3.136010341742371e-05,0.0,0.10849494999305527,1,0,0.0
STK3,0.0,9.100530399750523e-05,0.6666666666666666,0.1261863873242722,3,0,0.0
STK4,7.577150628945021e-05,0.00011123413393992737,0.3333333333333333,0.13830091951569376,4,0,0.0
LATS1,0.00034295377478729645,0.000164239505330335,0.3333333333333333,0.15031053918927792,6,0,0.0
PTPA,0.0,5.042930755738611e-05,1.0,0.13038962514969277,3,0,0.0
TIPRL,0.0,3.793776184466021e-05,1.0,0.13036945393317867,2,0,0.0
PPME1,0.0,3.793776184466021e-05,1.0,0.13036945393317867,2,0,0.0
PPP2R3B,0.0,3.793776184466021e-05,1.0,0.13036945393317867,2,0,0.0
GSKIP,0.0,2.8851510206224978e-05,0.0,0.16032742895641683,1,0,0.0
SEMA6D,0.0,3.423053346963586e-05,0.0,0.12634043135917075,1,0,0.0
