Drug_name,Promiscuity_index
isocarboxazid,2
kojic acid,2
ketoprofen,2
ketamine,2
insulin human,2
isoxicam,2
isosorbide mononitrate,2
isosorbide dinitrate,2
isopropamide,2
isoconazole,2
buserelin,2
bufexamac,2
brilliant blue g,2
brentuximab vedotin,2
blinatumomab,2
tolperisone,2
toloxatone,2
cefradine,2
cefotiam,2
cefixime,2
casopitant,2
teriflunomide,2
hydroxyamfetamine,2
hydrocortisone acetate,2
hydrocodone,2
hexylresorcinol,2
piretanide,2
pipotiazine palmitate,2
pargyline,2
parecoxib,2
levamisole,2
levamfetamine,2
leucovorin,2
lesinurad,2
lenalidomide,2
tetracosactide,2
testosterone propionate,2
tertatolol,2
teriparatide,2
cerulenin,2
cerivastatin,2
tepotinib,2
tenoxicam,2
lasofoxifene,2
levomenol,2
levobetaxolol,2
chlorothiazide,2
chlormadinone,2
gliclazide,2
guanadrel,2
guaiacol,2
griseofulvin,2
goserelin,2
cetrorelix,2
cholic acid,2
chlorphentermine,2
chloroxylenol,2
binimetinib,2
bimatoprost,2
bicalutamide,2
betamethasone,2
bergapten,2
tolvaptan,2
triclocarban,2
triamcinolone acetonide,2
polmacoxib,2
polatuzumab vedotin,2
pitavastatin,2
pirprofen,2
piroxicam,2
glycine,2
glyceryl trinitrate,2
cladribine,2
chlorotrianisene,2
levomethadyl acetate,2
levomenthol,2
palonosetron,2
oxyphencyclimine,2
cicloprolol,2
ciclopirox,2
chromic chloride,2
glucagon,2
glimepiride,2
pramocaine,2
posaconazole,2
glibornuride,2
gestodene,2
lifitegrast,2
lidoflazine,2
benzarone,2
betaxolol,2
betamipron,2
trastuzumab emtansine,2
gemigliptin,2
ganciclovir,2
clidinium,2
clevidipine,2
temazepam,2
tedizolid phosphate,2
tavaborole,2
tasimelteon,2
benzoin,2
benzoic acid,2
benziodarone,2
lopinavir,2
lobeglitazone,2
lithium citrate,2
lithium carbonate,2
oxymetholone,2
benidipine,2
belatacept,2
galantamine,2
gabapentin enacarbil,2
progabide,2
sulfur,2
talazoparib tosylate,2
clofibric acid,2
trastuzumab deruxtecan,2
trimetrexate,2
trimethoprim,2
oxycinchophen,2
oxybuprocaine,2
oxedrine,2
travoprost,2
maraviroc,2
tridihexethyl,2
triclosan,2
bazedoxifene,2
procaterol,2
primidone,2
flutrimazole,2
proquazone,2
sulmazole,2
cloxiquine,2
clorprenaline,2
macitentan,2
luspatercept,2
luseogliflozin,2
lumiracoxib,2
loxoprofen,2
mecasermin,2
baclofen,2
bacitracin,2
trovafloxacin,2
triparanol,2
clonazepam,2
floxacillin,2
flurazepam,2
conjugated estrogens,2
conivaptan,2
suvorexant,2
azapropazone,2
oxagrelate,2
opipramol,2
mebanazine,2
margetuximab,2
meptazinol,2
azacyclonol,2
azacitidine,2
avapritinib,2
avanafil,2
sultopride,2
fluorescein,2
cromoglicic acid,2
crofelemer,2
corticorelin,2
corbadrine,2
pyridostigmine,2
meloxicam,2
mefuparib,2
medroxalol,2
medetomidine,2
evans blue,2
fendiline,2
fenbufen,2
darolutamide,2
felbinac,2
felbamate,2
floctafenine,2
sulforidazine,2
sulfisoxazole acetyl,2
sulfaguanidine,2
dacarbazine,2
cyclovalone,2
arsenic trioxide,2
omarigliptin,2
olmutinib,2
mebendazole,2
apixaban,2
ramelteon,2
febuxostat,2
denopamine,2
delorazepam,2
delavirdine,2
deferoxamine,2
decitabine,2
debrisoquine,2
angiotensin ii,2
octopamine,2
octatropine methylbromide,2
obeticholic acid,2
mestanolone,2
ustekinumab,2
udenafil,2
nizatidine,2
nitroprusside,2
nitrofurantoin,2
anagrelide,2
succinic acid,2
exisulind,2
exemestane,2
evogliptin,2
eugenol,2
etretinate,2
etodolac,2
ampicillin,2
amperozide,2
methoxyflurane,2
arginine hydrochloride,2
aprotinin,2
riboflavin,2
diazoxide,2
dezocine,2
ethisterone,2
desvenlafaxine,2
simvastatin,2
sotagliflozin,2
desoximetasone,2
desogestrel,2
sivelestat,2
sitaxentan,2
sincalide,2
dexketoprofen,2
aminocaproic acid,2
aminobenzoic acid,2
amifostine,2
ambrisentan,2
dexmethylphenidate,2
sodium nitrite,2
sodium benzoate,2
estetrol,2
eseridine,2
rolitetracycline,2
dilazep,2
diethylpropion,2
midodrine,2
metoprolol,2
metixene,2
aminosalicylic acid,2
aminoquinuride,2
